proj,id,trigger_exceptions,patch_changes,buggy,original
Closure,60,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,"com.google.javascript.jscomp.NodeUtil:getImpureBooleanValue:[Node n]:TernaryValue#com.google.javascript.jscomp.NodeUtil:getPureBooleanValue:[Node n]:TernaryValue#com.google.javascript.jscomp.PeepholeRemoveDeadCode:tryFoldExpr:[Node subtree]:Node#com.google.javascript.jscomp.PeepholeRemoveDeadCode:tryFoldFor:[Node n]:Node#com.google.javascript.jscomp.PeepholeRemoveDeadCode:trySimpilifyUnusedResult:[Node n]:Node#com.google.javascript.jscomp.PeepholeRemoveDeadCode:trySimpilifyUnusedResult:[Node n, boolean removeUnused]:Node#com.google.javascript.jscomp.PeepholeRemoveDeadCode:tryFoldComma:[Node n]:Node",,
Closure,61,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,"com.google.javascript.jscomp.NodeUtil:functionCallHasSideEffects:[Node callNode, @Nullable AbstractCompiler compiler]:boolean",,
Closure,62,junit.framework.ComparisonFailure#junit.framework.ComparisonFailure,"com.google.javascript.jscomp.LightweightMessageFormatter:format:[JSError error, boolean warning]:String",,
Closure,64,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.Compiler:toSource:[Node n, SourceMap sourceMap]:String#com.google.javascript.jscomp.Compiler:toSource:[final CodeBuilder cb, final int inputSeqNum, final Node root]:void#com.google.javascript.jscomp.Compiler:toSource:[Node n]:String",,
Closure,65,junit.framework.ComparisonFailure,"com.google.javascript.jscomp.CodeGenerator:strEscape:[String s, char quote, String doublequoteEscape, String singlequoteEscape, String backslashEscape, CharsetEncoder outputCharsetEncoder]:String",,
Closure,66,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,"com.google.javascript.jscomp.TypeCheck:visit:[NodeTraversal t, Node n, Node parent]:void",,
Closure,68,junit.framework.AssertionFailedError,com.google.javascript.jscomp.parsing.JsDocInfoParser:parseBasicTypeExpression:[JsDocToken token]:Node#com.google.javascript.jscomp.parsing.JsDocInfoParser:parse:[]:boolean#com.google.javascript.jscomp.parsing.JsDocInfoParser:parseFunctionType:[JsDocToken token]:Node,,
Closure,73,junit.framework.ComparisonFailure,"com.google.javascript.jscomp.CodeGenerator:strEscape:[String s, char quote, String doublequoteEscape, String singlequoteEscape, String backslashEscape, CharsetEncoder outputCharsetEncoder]:String",,
Closure,74,junit.framework.AssertionFailedError#junit.framework.ComparisonFailure#junit.framework.ComparisonFailure,"com.google.javascript.jscomp.PeepholeFoldConstants:tryFoldComparison:[Node n, Node left, Node right]:Node#com.google.javascript.jscomp.PeepholeFoldConstants:compareAsNumbers:[int op, Node left, Node right]:Boolean",,
Closure,75,junit.framework.AssertionFailedError,com.google.javascript.jscomp.NodeUtil:trimJsWhiteSpace:[String s]:String#com.google.javascript.jscomp.NodeUtil:getStringNumberValue:[String rawJsString]:Double#com.google.javascript.jscomp.NodeUtil:isStrWhiteSpaceChar:[int c]:boolean,,
Closure,76,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,"com.google.javascript.jscomp.DeadAssignmentsElimination:isVariableReadBeforeKill:[Node n, String variable]:VariableLiveness#com.google.javascript.jscomp.DeadAssignmentsElimination:isVariableStillLiveWithinExpression:[Node n, Node exprRoot, String variable]:boolean",,
Closure,80,junit.framework.AssertionFailedError#java.lang.IllegalStateException,"com.google.javascript.jscomp.NodeUtil:isBooleanResultHelper:[Node n]:boolean#com.google.javascript.jscomp.NodeUtil:evaluatesToLocalValue:[Node value, Predicate<Node> locals]:boolean",,
Closure,82,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,com.google.javascript.rhino.jstype.JSType:isEmptyType:[]:boolean,,
Closure,85,junit.framework.AssertionFailedError#java.lang.RuntimeException,com.google.javascript.jscomp.UnreachableCodeElimination:tryRemoveUnconditionalBranching:[Node n]:Node,,
Closure,91,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.CheckGlobalThis:shouldTraverse:[NodeTraversal t, Node n, Node parent]:boolean",,
Closure,92,junit.framework.AssertionFailedError,com.google.javascript.jscomp.ProcessClosurePrimitives\$ProvidedName:replace:[]:void,,
Closure,99,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,"com.google.javascript.jscomp.FunctionInformationMap\$Entry:writeReplace:[]:Object#com.google.javascript.jscomp.FunctionInformationMap:writeReplace:[]:Object#com.google.javascript.jscomp.FunctionInformationMap\$Module:writeReplace:[]:Object#com.google.javascript.jscomp.Instrumentation:writeReplace:[]:Object#com.google.javascript.jscomp.CheckGlobalThis:shouldTraverse:[NodeTraversal t, Node n, Node parent]:boolean",,
Closure,104,junit.framework.AssertionFailedError,com.google.javascript.rhino.jstype.UnionType:meet:[JSType that]:JSType,,
Closure,107,junit.framework.AssertionFailedError,com.google.javascript.jscomp.CommandLineRunner:createOptions:[]:CompilerOptions,com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,107,junit.framework.AssertionFailedError,com.google.javascript.jscomp.CommandLineRunner:createOptions:[]:CompilerOptions,com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Closure,113,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.ProcessClosurePrimitives:processRequireCall:[NodeTraversal t, Node n, Node parent]:void",,
Closure,114,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.NameAnalyzer\$FindReferences:visit:[NodeTraversal t, Node n, Node parent]:void#com.google.javascript.jscomp.NameAnalyzer\$FindReferences:maybeRecordReferenceOrAlias:[NodeTraversal t, Node n, Node parent, NameInformation nameInfo, NameInformation referring]:void#com.google.javascript.jscomp.NameAnalyzer\$FindDependencyScopes:recordAssignment:[NodeTraversal t, Node n, Node recordNode]:void",com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,114,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.NameAnalyzer\$FindReferences:visit:[NodeTraversal t, Node n, Node parent]:void#com.google.javascript.jscomp.NameAnalyzer\$FindReferences:maybeRecordReferenceOrAlias:[NodeTraversal t, Node n, Node parent, NameInformation nameInfo, NameInformation referring]:void#com.google.javascript.jscomp.NameAnalyzer\$FindDependencyScopes:recordAssignment:[NodeTraversal t, Node n, Node recordNode]:void",com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Closure,115,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,"com.google.javascript.jscomp.FunctionInjector:canInlineReferenceDirectly:[Node callNode, Node fnNode]:CanInlineResult",,
Closure,120,junit.framework.AssertionFailedError,com.google.javascript.jscomp.ReferenceCollectingCallback\$ReferenceCollection:isAssignedOnceInLifetime:[]:boolean,,
Closure,121,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.InlineVariables\$InliningBehavior:inlineNonConstants:[Var v, ReferenceCollection referenceInfo, boolean maybeModifiedArguments]:void#com.google.javascript.jscomp.ReferenceCollectingCallback\$ReferenceCollection:isAssignedOnceInLifetime:[]:boolean",com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,125,java.lang.IllegalStateException,"com.google.javascript.jscomp.TypeCheck:visitNew:[NodeTraversal t, Node n]:void#com.google.javascript.jscomp.TypeCheck:propertyIsImplicitCast:[ObjectType type, String prop]:boolean",com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,125,java.lang.IllegalStateException,"com.google.javascript.jscomp.TypeCheck:visitNew:[NodeTraversal t, Node n]:void#com.google.javascript.jscomp.TypeCheck:propertyIsImplicitCast:[ObjectType type, String prop]:boolean",com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Closure,128,junit.framework.ComparisonFailure,com.google.javascript.jscomp.CodeGenerator:isSimpleNumber:[String s]:boolean,com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,128,junit.framework.ComparisonFailure,com.google.javascript.jscomp.CodeGenerator:isSimpleNumber:[String s]:boolean,com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Closure,131,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,com.google.javascript.rhino.TokenStream:isJSIdentifier:[String s]:boolean,com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,131,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,com.google.javascript.rhino.TokenStream:isJSIdentifier:[String s]:boolean,com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Closure,133,java.lang.IllegalStateException,"com.google.javascript.jscomp.parsing.JsDocInfoParser:extractMultilineTextualBlock:[JsDocToken token, WhitespaceOption option]:ExtractionInfo#com.google.javascript.jscomp.parsing.JsDocInfoParser:extractBlockComment:[JsDocToken token]:ExtractionInfo#com.google.javascript.jscomp.parsing.JsDocInfoParser:extractSingleLineBlock:[]:ExtractionInfo#com.google.javascript.jscomp.parsing.JsDocInfoParser:hasParsedFileOverviewDocInfo:[]:boolean",com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,133,java.lang.IllegalStateException,"com.google.javascript.jscomp.parsing.JsDocInfoParser:extractMultilineTextualBlock:[JsDocToken token, WhitespaceOption option]:ExtractionInfo#com.google.javascript.jscomp.parsing.JsDocInfoParser:extractBlockComment:[JsDocToken token]:ExtractionInfo#com.google.javascript.jscomp.parsing.JsDocInfoParser:extractSingleLineBlock:[]:ExtractionInfo#com.google.javascript.jscomp.parsing.JsDocInfoParser:hasParsedFileOverviewDocInfo:[]:boolean",com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Lang,4,junit.framework.AssertionFailedError,"org.apache.commons.lang3.text.translate.LookupTranslator:LookupTranslator:[final CharSequence[]... lookup]:null#org.apache.commons.lang3.text.translate.LookupTranslator:translate:[final CharSequence input, final int index, final Writer out]:int",org/apache/commons/lang3,src/java/org/apache/commons/lang
Lang,4,junit.framework.AssertionFailedError,"org.apache.commons.lang3.text.translate.LookupTranslator:LookupTranslator:[final CharSequence[]... lookup]:null#org.apache.commons.lang3.text.translate.LookupTranslator:translate:[final CharSequence input, final int index, final Writer out]:int",org/apache/commons/lang3/text,src/java/org/apache/commons/lang
Lang,4,junit.framework.AssertionFailedError,"org.apache.commons.lang3.text.translate.LookupTranslator:LookupTranslator:[final CharSequence[]... lookup]:null#org.apache.commons.lang3.text.translate.LookupTranslator:translate:[final CharSequence input, final int index, final Writer out]:int",org/apache/commons/lang3/tuple,src/java/org/apache/commons/lang/math
Lang,4,junit.framework.AssertionFailedError,"org.apache.commons.lang3.text.translate.LookupTranslator:LookupTranslator:[final CharSequence[]... lookup]:null#org.apache.commons.lang3.text.translate.LookupTranslator:translate:[final CharSequence input, final int index, final Writer out]:int",org/apache/commons/lang3/event,src/java/org/apache/commons/lang
Lang,4,junit.framework.AssertionFailedError,"org.apache.commons.lang3.text.translate.LookupTranslator:LookupTranslator:[final CharSequence[]... lookup]:null#org.apache.commons.lang3.text.translate.LookupTranslator:translate:[final CharSequence input, final int index, final Writer out]:int",org/apache/commons/lang3,src/test/org/apache/commons/lang
Lang,4,junit.framework.AssertionFailedError,"org.apache.commons.lang3.text.translate.LookupTranslator:LookupTranslator:[final CharSequence[]... lookup]:null#org.apache.commons.lang3.text.translate.LookupTranslator:translate:[final CharSequence input, final int index, final Writer out]:int",org/apache/commons/lang3/text,src/test/org/apache/commons/lang
Lang,6,java.lang.StringIndexOutOfBoundsException,"org.apache.commons.lang3.text.translate.CharSequenceTranslator:translate:[CharSequence input, Writer out]:void",,
Lang,13,org.apache.commons.lang3.SerializationException,"org.apache.commons.lang3.SerializationUtils\$ClassLoaderAwareObjectInputStream:ClassLoaderAwareObjectInputStream:[InputStream in, ClassLoader classLoader]:null#org.apache.commons.lang3.SerializationUtils\$ClassLoaderAwareObjectInputStream:resolveClass:[ObjectStreamClass desc]:Class<?>",,
Lang,46,junit.framework.ComparisonFailure,"org.apache.commons.lang.StringEscapeUtils:escapeJava:[Writer out, String str]:void#org.apache.commons.lang.StringEscapeUtils:escapeJavaScript:[Writer out, String str]:void#org.apache.commons.lang.StringEscapeUtils:escapeJava:[String str]:String#org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:[Writer out, String str, boolean escapeSingleQuote]:void#org.apache.commons.lang.StringEscapeUtils:escapeJavaStyleString:[String str, boolean escapeSingleQuotes]:String#org.apache.commons.lang.StringEscapeUtils:escapeJavaScript:[String str]:String",,
Lang,51,java.lang.StringIndexOutOfBoundsException,org.apache.commons.lang.BooleanUtils:toBoolean:[String str]:boolean,,
Lang,53,junit.framework.AssertionFailedError,"org.apache.commons.lang.time.DateUtils:modify:[Calendar val, int field, boolean round]:void",,
Math,2,junit.framework.AssertionFailedError,org.apache.commons.math3.distribution.HypergeometricDistribution:getNumericalMean:[]:double,org/apache/commons/math3,org/apache/commons/math
Math,2,junit.framework.AssertionFailedError,org.apache.commons.math3.distribution.HypergeometricDistribution:getNumericalMean:[]:double,org/apache/commons/math3/optim,org/apache/commons/math/optimization
Math,2,junit.framework.AssertionFailedError,org.apache.commons.math3.distribution.HypergeometricDistribution:getNumericalMean:[]:double,org/apache/commons/math3/optim/nonlinear/scalar/noderiv,org/apache/commons/math/optimization/direct
Math,2,junit.framework.AssertionFailedError,org.apache.commons.math3.distribution.HypergeometricDistribution:getNumericalMean:[]:double,org/apache/commons/math3/optim/nonlinear/scalar/gradient,org/apache/commons/math/optimization/general
Math,2,junit.framework.AssertionFailedError,org.apache.commons.math3.distribution.HypergeometricDistribution:getNumericalMean:[]:double,org/apache/commons/math3/ml,org/apache/commons/math/stat
Math,10,junit.framework.AssertionFailedError,"org.apache.commons.math3.analysis.differentiation.DSCompiler:atan2:[final double[] y, final int yOffset, final double[] x, final int xOffset, final double[] result, final int resultOffset]:void",,
Math,14,java.lang.OutOfMemoryError,org.apache.commons.math3.optim.nonlinear.vector.Weight:Weight:[double[] weight]:null#org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizer:squareRoot:[RealMatrix m]:RealMatrix,,
Math,15,junit.framework.AssertionFailedError,"org.apache.commons.math3.util.FastMath:pow:[double x, double y]:double",org/apache/commons/math3,src/main/java/org/apache/commons/math
Math,15,junit.framework.AssertionFailedError,"org.apache.commons.math3.util.FastMath:pow:[double x, double y]:double",org/apache/commons/math3/geometry/euclidean/threed,src/main/java/org/apache/commons/math/geometry
Math,15,junit.framework.AssertionFailedError,"org.apache.commons.math3.util.FastMath:pow:[double x, double y]:double",org/apache/commons/math3,src/test/java/org/apache/commons/math
Math,15,junit.framework.AssertionFailedError,"org.apache.commons.math3.util.FastMath:pow:[double x, double y]:double",org/apache/commons/math3/geometry/euclidean/threed,src/test/java/org/apache/commons/math/geometry
Math,15,junit.framework.AssertionFailedError,"org.apache.commons.math3.util.FastMath:pow:[double x, double y]:double",org/apache/commons/math3/stat/descriptive/moment,src/test/java/org/apache/commons/math/stat/descriptive
Math,23,junit.framework.AssertionFailedError,"org.apache.commons.math3.optimization.univariate.BrentOptimizer:best:[UnivariatePointValuePair a, UnivariatePointValuePair b, boolean isMinim]:UnivariatePointValuePair#org.apache.commons.math3.optimization.univariate.BrentOptimizer:doOptimize:[]:UnivariatePointValuePair",,
Math,24,junit.framework.AssertionFailedError,"org.apache.commons.math3.optimization.univariate.BrentOptimizer:doOptimize:[]:UnivariatePointValuePair#org.apache.commons.math3.optimization.univariate.BrentOptimizer:BrentOptimizer:[double rel, double abs]:null",,
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/analysis/interpolation,src/java/org/apache/commons/math/analysis
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/analysis/polynomials,src/java/org/apache/commons/math/analysis
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3,src/java/org/apache/commons/math
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/geometry/euclidean/threed,src/java/org/apache/commons/math/geometry
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/ode/nonstiff,src/java/org/apache/commons/math/ode
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/ode/sampling,src/java/org/apache/commons/math/ode
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/analysis/interpolation,src/test/org/apache/commons/math/analysis
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3,src/test/org/apache/commons/math
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/analysis/polynomials,src/test/org/apache/commons/math/analysis
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/optimization/general,src/test/org/apache/commons/math/estimation
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/geometry/euclidean/threed,src/test/org/apache/commons/math/geometry
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/ode/nonstiff,src/test/org/apache/commons/math/ode
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/ode/sampling,src/test/org/apache/commons/math/ode
Math,26,junit.framework.AssertionFailedError,"org.apache.commons.math3.fraction.Fraction:Fraction:[double value, double epsilon, int maxDenominator, int maxIterations]:null",org/apache/commons/math3/stat/descriptive/moment,src/test/org/apache/commons/math/stat/descriptive
Math,28,org.apache.commons.math3.exception.MaxCountExceededException,"org.apache.commons.math3.optimization.linear.SimplexSolver:getPivotRow:[SimplexTableau tableau, final int col]:Integer",,
Math,42,junit.framework.AssertionFailedError,org.apache.commons.math.optimization.linear.SimplexTableau:getSolution:[]:RealPointValuePair,org/apache/commons/math/geometry/euclidean/threed,src/main/java/org/apache/commons/math/geometry
Math,42,junit.framework.AssertionFailedError,org.apache.commons.math.optimization.linear.SimplexTableau:getSolution:[]:RealPointValuePair,org/apache/commons/math/geometry/euclidean/threed,src/test/java/org/apache/commons/math/geometry
Math,42,junit.framework.AssertionFailedError,org.apache.commons.math.optimization.linear.SimplexTableau:getSolution:[]:RealPointValuePair,org/apache/commons/math/stat/descriptive/moment,src/test/java/org/apache/commons/math/stat/descriptive
Math,45,junit.framework.AssertionFailedError,"org.apache.commons.math.linear.OpenMapRealMatrix:OpenMapRealMatrix:[int rowDimension, int columnDimension]:null",org/apache/commons/math/linear,src/main/java/org/apache/commons/math/exception
Math,45,junit.framework.AssertionFailedError,"org.apache.commons.math.linear.OpenMapRealMatrix:OpenMapRealMatrix:[int rowDimension, int columnDimension]:null",org/apache/commons/math/geometry/euclidean/threed,src/main/java/org/apache/commons/math/geometry
Math,45,junit.framework.AssertionFailedError,"org.apache.commons.math.linear.OpenMapRealMatrix:OpenMapRealMatrix:[int rowDimension, int columnDimension]:null",org/apache/commons/math/linear,src/test/java/org/apache/commons/math/exception
Math,45,junit.framework.AssertionFailedError,"org.apache.commons.math.linear.OpenMapRealMatrix:OpenMapRealMatrix:[int rowDimension, int columnDimension]:null",org/apache/commons/math/geometry/euclidean/threed,src/test/java/org/apache/commons/math/geometry
Math,46,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,org.apache.commons.math.complex.Complex:divide:[double divisor]:Complex#org.apache.commons.math.complex.Complex:divide:[Complex divisor]:Complex,,
Math,48,java.lang.Exception,"org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:[]:double#org.apache.commons.math.analysis.solvers.BaseSecantSolver:BaseSecantSolver:[final double relativeAccuracy, final double absoluteAccuracy, final Method method]:null#org.apache.commons.math.analysis.solvers.BaseSecantSolver:BaseSecantSolver:[final double absoluteAccuracy, final Method method]:null#org.apache.commons.math.analysis.solvers.IllinoisSolver:IllinoisSolver:[final double absoluteAccuracy]:null#org.apache.commons.math.analysis.solvers.IllinoisSolver:IllinoisSolver:[final double relativeAccuracy, final double absoluteAccuracy]:null#org.apache.commons.math.analysis.solvers.IllinoisSolver:IllinoisSolver:[final double relativeAccuracy, final double absoluteAccuracy, final double functionValueAccuracy]:null#org.apache.commons.math.analysis.solvers.PegasusSolver:PegasusSolver:[final double relativeAccuracy, final double absoluteAccuracy]:null#org.apache.commons.math.analysis.solvers.PegasusSolver:PegasusSolver:[final double absoluteAccuracy]:null#org.apache.commons.math.analysis.solvers.PegasusSolver:PegasusSolver:[final double relativeAccuracy, final double absoluteAccuracy, final double functionValueAccuracy]:null#org.apache.commons.math.analysis.solvers.RegulaFalsiSolver:RegulaFalsiSolver:[final double relativeAccuracy, final double absoluteAccuracy]:null#org.apache.commons.math.analysis.solvers.RegulaFalsiSolver:RegulaFalsiSolver:[final double absoluteAccuracy]:null#org.apache.commons.math.analysis.solvers.RegulaFalsiSolver:RegulaFalsiSolver:[final double relativeAccuracy, final double absoluteAccuracy, final double functionValueAccuracy]:null",,
Math,50,junit.framework.AssertionFailedError,org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:[]:double,,
Math,53,junit.framework.AssertionFailedError,org.apache.commons.math.complex.Complex:add:[Complex rhs]:Complex,org/apache/commons/math/analysis/interpolation,org/apache/commons/math/analysis
Math,53,junit.framework.AssertionFailedError,org.apache.commons.math.complex.Complex:add:[Complex rhs]:Complex,org/apache/commons/math/analysis/polynomials,org/apache/commons/math/analysis
Math,53,junit.framework.AssertionFailedError,org.apache.commons.math.complex.Complex:add:[Complex rhs]:Complex,org/apache/commons/math/analysis/integration,org/apache/commons/math/analysis
Math,60,org.apache.commons.math.ConvergenceException,org.apache.commons.math.distribution.NormalDistributionImpl:cumulativeProbability:[double x]:double,org/apache/commons/math/analysis/interpolation,src/java/org/apache/commons/math/analysis
Math,60,org.apache.commons.math.ConvergenceException,org.apache.commons.math.distribution.NormalDistributionImpl:cumulativeProbability:[double x]:double,org/apache/commons/math/analysis/polynomials,src/java/org/apache/commons/math/analysis
