proj,id,trigger_exceptions
Time,1,junit.framework.AssertionFailedError
Time,2,java.lang.IllegalArgumentException
Time,7,org.joda.time.IllegalFieldValueException#org.joda.time.IllegalFieldValueException
Time,11,junit.framework.AssertionFailedError
Time,16,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Mockito,8,java.lang.StackOverflowError
Mockito,11,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Mockito,12,java.lang.ClassCastException#java.lang.ClassCastException
Mockito,22,java.lang.RuntimeException
Mockito,38,java.lang.NullPointerException#java.lang.NullPointerException
Codec,3,junit.framework.ComparisonFailure
Codec,4,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Codec,6,junit.framework.AssertionFailedError
Codec,8,java.lang.ArrayIndexOutOfBoundsException
Codec,14,junit.framework.AssertionFailedError
Compress,6,junit.framework.AssertionFailedError
Jsoup,26,java.lang.NullPointerException
Jsoup,43,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Jsoup,57,java.util.ConcurrentModificationException
Jsoup,79,java.lang.UnsupportedOperationException
Jsoup,88,junit.framework.AssertionFailedError
Compress,1,java.io.EOFException
Compress,3,junit.framework.AssertionFailedError
Closure,153,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,170,junit.framework.AssertionFailedError
Time,5,java.lang.UnsupportedOperationException#java.lang.UnsupportedOperationException#java.lang.UnsupportedOperationException
Time,15,junit.framework.AssertionFailedError
Cli,29,junit.framework.ComparisonFailure
Closure,27,java.lang.IllegalStateException#java.lang.IllegalStateException#java.lang.IllegalStateException
Codec,10,junit.framework.ComparisonFailure
Codec,18,java.lang.StringIndexOutOfBoundsException#java.lang.StringIndexOutOfBoundsException
Compress,26,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Compress,39,junit.framework.AssertionFailedError
Compress,44,junit.framework.AssertionFailedError
Compress,7,junit.framework.ComparisonFailure
Compress,8,junit.framework.AssertionFailedError
Gson,15,java.lang.IllegalArgumentException
JacksonCore,14,junit.framework.AssertionFailedError
JacksonCore,4,junit.framework.AssertionFailedError
JacksonCore,5,java.lang.NumberFormatException
JacksonCore,6,junit.framework.AssertionFailedError
JacksonCore,8,java.lang.NullPointerException
Jsoup,27,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Jsoup,4,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Jsoup,85,junit.framework.AssertionFailedError
Jsoup,9,junit.framework.AssertionFailedError
Lang,14,junit.framework.AssertionFailedError
Lang,19,java.lang.StringIndexOutOfBoundsException#java.lang.StringIndexOutOfBoundsException
Lang,21,junit.framework.AssertionFailedError
Lang,22,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Lang,25,junit.framework.AssertionFailedError
Lang,26,junit.framework.ComparisonFailure
Lang,28,junit.framework.ComparisonFailure
Lang,31,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Lang,40,junit.framework.AssertionFailedError
Lang,43,java.lang.OutOfMemoryError
Lang,44,java.lang.StringIndexOutOfBoundsException
Lang,45,java.lang.StringIndexOutOfBoundsException
Lang,47,java.lang.NullPointerException#java.lang.NullPointerException
Lang,48,junit.framework.AssertionFailedError
Lang,49,junit.framework.AssertionFailedError
Lang,52,junit.framework.ComparisonFailure
Lang,54,java.lang.IllegalArgumentException
Lang,55,junit.framework.AssertionFailedError
Lang,57,java.lang.NullPointerException#java.lang.NullPointerException#java.lang.NullPointerException#java.lang.NullPointerException#java.lang.NullPointerException#java.lang.NullPointerException#java.lang.NullPointerException#java.lang.NullPointerException#java.lang.NullPointerException#java.lang.NullPointerException#java.lang.NullPointerException
Lang,60,junit.framework.AssertionFailedError
Lang,61,junit.framework.AssertionFailedError#java.lang.ArrayIndexOutOfBoundsException
Lang,64,junit.framework.AssertionFailedError
Math,101,java.lang.StringIndexOutOfBoundsException
Math,103,org.apache.commons.math.MaxIterationsExceededException
Math,104,junit.framework.AssertionFailedError
Math,105,junit.framework.AssertionFailedError
Math,106,junit.framework.AssertionFailedError
Math,17,junit.framework.AssertionFailedError
Math,25,junit.framework.AssertionFailedError
Math,3,java.lang.ArrayIndexOutOfBoundsException
Math,35,junit.framework.AssertionFailedError
Math,54,junit.framework.AssertionFailedError
Math,55,junit.framework.AssertionFailedError
Math,63,junit.framework.AssertionFailedError
Math,70,java.lang.NullPointerException
Math,79,java.lang.NullPointerException
Math,92,junit.framework.AssertionFailedError
Math,93,junit.framework.AssertionFailedError
Math,96,junit.framework.AssertionFailedError
Math,97,java.lang.IllegalArgumentException
